date,ACTUAL_PNL,MARKET_PNL,MODEL_PNL,DELTA_PNL,SMILE_ROLL_PNL,ATM_PNL,SKEW_PNL,CURV_PNL,TAU_PNL,R_PNL,MARKET_NOISE,MODEL_RESIDUAL,TOTAL_RESIDUAL,FEE_PNL
2026-07-15,711826.2554965966,799646.6694161722,671300.4789434191,167713.48309998598,-97549.67248199815,41396.236989428726,579854.4671289618,-5196.1314077518455,-14917.90438520761,0.0,128346.19047275317,8.29913915367797e-11,128346.19047275325,-87820.41391957547
2026-07-16,610500.728776598,698506.6694161736,597180.0774827653,164496.92310675554,-124929.13391676123,47339.74447524354,530721.2814697516,-4289.283268558127,-16159.454383666098,0.0,101326.59193340832,9.754330676514655e-11,101326.59193340843,-88005.94063957546
2026-07-17,519162.509896598,610406.6694161736,524650.372289668,210626.19608602644,-116002.24669167389,49471.913074834294,387604.5669535695,9268.767589592953,-16318.824722681456,0.0,85756.29712650567,1.5575096767861396e-10,85756.29712650584,-91244.15951957546
2026-07-20,554947.7590965987,647066.6694161743,592702.7959925289,223824.04775195377,-116737.47484870945,28825.20130870173,467985.4585134572,1265.687677559341,-12460.124410433897,0.0,54363.87342364542,2.1395862859208137e-10,54363.87342364565,-92118.91031957546
2026-07-21,807110.7043765972,902586.6694161728,869517.6789129957,250255.86560074688,-75898.10652998308,106645.59618166294,612502.0263274412,-16109.247848835585,-7878.454818036546,0.0,33068.99050317706,-1.887201506178826e-11,33068.99050317706,-95475.96503957546
2026-07-22,909396.8598110452,1008973.749290725,966447.3689408669,235189.795663231,-98959.24006586935,109167.03628457364,745511.2213290231,-16492.623119836127,-7968.821150255364,0.0,42526.380349858104,-1.887201506178826e-11,42526.380349858104,-99576.88947967965
2026-07-23,903452.056116775,1004588.9455964548,963472.0687295264,239701.70058832012,-88162.99774469619,106540.81183358736,730564.018582194,-16237.717220953753,-8933.74730892514,0.0,41116.876866928396,-4.3428372009657323e-11,41116.876866928375,-101136.88947967965
2026-07-24,892221.1326443169,998068.945596453,957998.0702031782,243472.25181965597,-150328.94204037433,120577.02258243113,772949.6244678223,-16958.926654565894,-11712.959971790804,0.0,40070.8753932748,-1.2528289516922086e-10,40070.8753932747,-105847.812952136
2026-07-27,987601.1858843183,1095868.9455964544,1035895.867083209,226949.8063173316,-62639.45832425369,135479.44057140412,755610.4012151447,-13708.584269797193,-5795.738426620401,0.0,59973.07851324542,-9.617906471248716e-11,59973.078513245346,-108267.759712136
2026-07-28,1060916.2337164087,1173841.823232568,1137553.9859404427,221857.11895236498,-135332.98027591858,151324.59613686407,921243.450796367,-14012.419948122915,-7525.7797211117995,0.0,36287.83729212547,-1.6893864085432142e-10,36287.837292125325,-112925.58951615919
2026-07-29,1056474.3897161998,1177001.823232568,1138924.6155202584,207519.9382718487,-98553.23402926004,149315.3215114894,903628.688785621,-14350.391211988011,-8635.707807452429,0.0,38077.20771230969,-2.1259438653942198e-10,38077.2077123095,-120527.43351636801
