TRADE_DT,CODE,EXPIRY,TYPE,STRIKE,PRICE,VOLUME,OI,TAU,EXPIRY_CODE
2026-06-01,MO2609-C-7000.CFE,2026-09-18,CALL,7000.0,1206.0,14.0,933.0,0.29863013698630136,2609
2026-06-01,MO2609-C-7200.CFE,2026-09-18,CALL,7200.0,1048.0,5.0,762.0,0.29863013698630136,2609
2026-06-01,MO2609-C-7400.CFE,2026-09-18,CALL,7400.0,910.8,19.0,708.0,0.29863013698630136,2609
2026-06-01,MO2609-C-7600.CFE,2026-09-18,CALL,7600.0,761.0,70.0,1061.0,0.29863013698630136,2609
2026-06-01,MO2609-C-7800.CFE,2026-09-18,CALL,7800.0,635.4,228.0,1004.0,0.29863013698630136,2609
2026-06-01,MO2609-C-8000.CFE,2026-09-18,CALL,8000.0,531.8,472.0,1837.0,0.29863013698630136,2609
2026-06-01,MO2609-C-8200.CFE,2026-09-18,CALL,8200.0,437.0,642.0,1784.0,0.29863013698630136,2609
2026-06-01,MO2609-C-8400.CFE,2026-09-18,CALL,8400.0,358.0,1086.0,2269.0,0.29863013698630136,2609
2026-06-01,MO2609-C-8600.CFE,2026-09-18,CALL,8600.0,287.4,925.0,2544.0,0.29863013698630136,2609
2026-06-01,MO2609-C-8800.CFE,2026-09-18,CALL,8800.0,232.4,617.0,1677.0,0.29863013698630136,2609
2026-06-01,MO2609-C-9000.CFE,2026-09-18,CALL,9000.0,189.0,761.0,2307.0,0.29863013698630136,2609
2026-06-01,MO2609-C-9200.CFE,2026-09-18,CALL,9200.0,151.8,540.0,1343.0,0.29863013698630136,2609
2026-06-01,MO2609-C-9400.CFE,2026-09-18,CALL,9400.0,124.4,357.0,1334.0,0.29863013698630136,2609
2026-06-01,MO2609-C-9600.CFE,2026-09-18,CALL,9600.0,99.0,552.0,2207.0,0.29863013698630136,2609
2026-06-01,MO2609-C-9800.CFE,2026-09-18,CALL,9800.0,78.8,302.0,940.0,0.29863013698630136,2609
2026-06-01,MO2609-P-10000.CFE,2026-09-18,PUT,10000.0,1940.0,16.0,58.0,0.29863013698630136,2609
2026-06-01,MO2609-P-6200.CFE,2026-09-18,PUT,6200.0,29.8,140.0,1313.0,0.29863013698630136,2609
2026-06-01,MO2609-P-6400.CFE,2026-09-18,PUT,6400.0,42.4,52.0,803.0,0.29863013698630136,2609
2026-06-01,MO2609-P-6600.CFE,2026-09-18,PUT,6600.0,60.2,93.0,802.0,0.29863013698630136,2609
2026-06-01,MO2609-P-6800.CFE,2026-09-18,PUT,6800.0,80.8,146.0,1134.0,0.29863013698630136,2609
2026-06-01,MO2609-P-7000.CFE,2026-09-18,PUT,7000.0,112.0,399.0,1613.0,0.29863013698630136,2609
2026-06-01,MO2609-P-7200.CFE,2026-09-18,PUT,7200.0,152.0,309.0,1530.0,0.29863013698630136,2609
2026-06-01,MO2609-P-7400.CFE,2026-09-18,PUT,7400.0,201.4,653.0,1754.0,0.29863013698630136,2609
2026-06-01,MO2609-P-7600.CFE,2026-09-18,PUT,7600.0,262.0,749.0,2116.0,0.29863013698630136,2609
