TRADE_DT,EXPIRY,EXPIRY_CODE,MODEL,TARGET,TARGET_DELTA,LOG_MONEYNESS,STRIKE,MODEL_IV,ACHIEVED_DELTA,DELTA_ERROR,STATUS
2026-06-05,2026-09-18,2609,QUADRATIC,75PUT,-0.25,-0.08958225476741777,7365.340249269127,0.2802713152734441,-0.24999999992326855,7.673145452358199e-11,OK
2026-06-05,2026-09-18,2609,QUADRATIC,90PUT,-0.1,-0.19177295231819147,6649.851671838943,0.29817665633686274,-0.09999999997968304,2.0316970328337902e-11,OK
2026-06-05,2026-09-18,2609,QUADRATIC,ATM,,0.0,8055.6,0.2749074441401177,,,OK
2026-06-05,2026-12-18,2612,QUADRATIC,10CALL,0.1,0.2974635844230653,10543.966495773228,0.29321975601639555,0.10000000000378839,3.788386271352806e-12,OK
2026-06-05,2026-12-18,2612,QUADRATIC,25CALL,0.25,0.15962751257419588,9186.34119678468,0.28232137421049125,0.250000000013941,1.394101500906686e-11,OK
2026-06-05,2026-12-18,2612,QUADRATIC,75PUT,-0.25,-0.11547796940803516,6976.952705893672,0.2783433194099711,-0.2499999999892548,1.074521027710773e-11,OK
2026-06-05,2026-12-18,2612,QUADRATIC,90PUT,-0.1,-0.24459921646118166,6131.816277595982,0.2846423696175265,-0.09999999993184011,6.815989439523662e-11,OK
2026-06-05,2026-12-18,2612,QUADRATIC,ATM,,0.0,7831.0,0.2771290992103956,,,OK
2026-06-05,2027-03-19,2703,QUADRATIC,10CALL,0.1,0.3332664999961853,10912.232236770675,0.2695455357600826,0.09999999996181323,3.8186773188009226e-11,OK
2026-06-05,2027-03-19,2703,QUADRATIC,25CALL,0.25,0.17976387119293208,9359.405324525787,0.25978282085707466,0.24999999995521852,4.478148407649485e-11,OK
2026-06-05,2027-03-19,2703,QUADRATIC,75PUT,-0.25,-0.13874259734153732,6806.48127031957,0.29208281386679563,-0.25000000008540824,8.54082360390862e-11,OK
2026-06-05,2027-03-19,2703,QUADRATIC,90PUT,-0.1,-0.3496207013130187,5512.38391617336,0.35249501080159606,-0.10000000003632593,3.6325928376435e-11,OK
2026-06-05,2027-03-19,2703,QUADRATIC,ATM,,0.0,7819.478650288575,0.26929368405439746,,,OK
2026-06-08,2026-06-22,2606,QUADRATIC,10CALL,0.1,0.07825530755519867,8729.915527810106,0.3047691894006541,0.10000000000019903,1.9902135495186712e-13,OK
2026-06-08,2026-06-22,2606,QUADRATIC,25CALL,0.25,0.04008751270174979,8402.992554305416,0.2913427060935127,0.2500000000319399,3.1939895173138666e-11,OK
2026-06-08,2026-06-22,2606,QUADRATIC,75PUT,-0.25,-0.03673232728242878,7781.647361394721,0.2905194310316035,-0.24999999995476155,4.523845187343056e-11,OK
2026-06-08,2026-06-22,2606,QUADRATIC,90PUT,-0.1,-0.0742289856672288,7495.264345414775,0.3028314833159748,-0.09999999994090195,5.909805977921678e-11,OK
2026-06-08,2026-06-22,2606,QUADRATIC,ATM,,0.0,8072.8,0.28654556938537556,,,OK
2026-06-08,2026-07-17,2607,QUADRATIC,10CALL,0.1,0.12798913061618805,9093.007117456595,0.2946648259315768,0.10000000006011556,6.011555142571012e-11,OK
2026-06-08,2026-07-17,2607,QUADRATIC,25CALL,0.25,0.06705407810211182,8555.46805364897,0.284986125491093,0.2499999999899795,1.002051219778366e-11,OK
2026-06-08,2026-07-17,2607,QUADRATIC,75PUT,-0.25,-0.062202810525894214,7518.102119188115,0.30528395751768683,-0.2499999999639181,3.6081887477834584e-11,OK
2026-06-08,2026-07-17,2607,QUADRATIC,90PUT,-0.1,-0.13708015441894522,6975.725833532468,0.34242771436493635,-0.09999999999615185,3.848157903441063e-12,OK
2026-06-08,2026-07-17,2607,QUADRATIC,ATM,,0.0,8000.6,0.2885888249046604,,,OK
2026-06-08,2026-08-21,2608,QUADRATIC,10CALL,0.1,0.17478738212585446,9465.835148150614,0.28865666697334463,0.09999999995554001,4.445999124413902e-11,OK
2026-06-08,2026-08-21,2608,QUADRATIC,25CALL,0.25,0.0908465483188629,8703.699649792916,0.2748867368125366,0.24999999993795732,6.204267655185447e-11,OK
2026-06-08,2026-08-21,2608,QUADRATIC,75PUT,-0.25,-0.08396437168121322,7307.7633989654805,0.30955468161507393,-0.2500000000326172,3.261718672931124e-11,OK
2026-06-08,2026-08-21,2608,QUADRATIC,90PUT,-0.1,-0.2069516584873199,6462.071781346424,0.3852359161440357,-0.10000000004624254,4.6242537576901555e-11,OK
