"CODE","DAY","CCY","PRECLOSE","OPEN","HIGH","LOW","CLOSE","CHANGE","PCTCHANGE","VOLUME","AMOUNT","ADJPRECLOSE","ADJOPEN","ADJHIGH","ADJLOW","ADJCLOSE","ADJFACTOR","AVGPRICE","TRADESTATUS","TRADESTATUSCODE","LIMIT","STOPPING","PRESETTLE","SETTLE","OI","FS_INFO_TYPE","OPDATE","SOURCE","OICHANGE","DIRTYPRICE","NETPRICE","NAV","ADJNAV","NAV_ADJFACTOR","ROOT","BID","ASK","MID","FIRST_NOTICE_DAY","LAST_TRADING_DAY","PREHALFH_AVG_PRICE","ADJ_FACTOR_NET","ADJ_CLOSE_NET","DELTA","GAMMA","VEGA","THETA","RHO"
IM2609.CFE,"2026-06-03",,,8126,8263.6,8075,8139.4,21.2,,61731,10104499.7,,,,,,,,,,,,8118.2,8130.8,141961,"2",2026-06-06 17:31:19,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2609.CFE,"2026-06-04",,,8090,8169,8080.4,8124.8,-6,,47359,7702888.56,,,,,,,,,,,,8130.8,8121.6,141194,"2",2026-06-07 17:30:57,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2609.CFE,"2026-06-05",,,8090,8207.8,8012.4,8055.6,-66,,69348,11242494.12,,,,,,,,,,,,8121.6,8063.4,149159,"2",2026-06-08 17:31:47,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2609.CFE,"2026-06-08",,,7891.8,7995,7740,7843.2,-220.2,,82795,13053569.632,,,,,,,,,,,,8063.4,7819,154115,"2",2026-06-11 17:30:58,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2609.CFE,"2026-06-09",,,7900,8010.8,7836.4,7993,174,,66881,10590467.196,,,,,,,,,,,,7819,7988.8,150868,"2",2026-06-12 17:31:00,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2609.CFE,"2026-06-10",,,7951.8,7967,7811.4,7917,-71.8,,67079,10585226.932,,,,,,,,,,,,7988.8,7900.2,156017,"2",2026-06-13 17:30:43,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2609.CFE,"2026-06-11",,,7908.8,7948.8,7813,7886.6,-13.6,,66805,10512390.724,,,,,,,,,,,,7900.2,7856.4,157295,"2",2026-06-14 17:30:36,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2609.CFE,"2026-06-12",,,8000,8077,7932,7958.6,102.2,,80183,12832228.46,,,,,,,,,,,,7856.4,7957.2,163108,"2",2026-06-15 17:30:40,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2609.CFE,"2026-06-15",,,8050,8245.6,8049.6,8244.6,287.4,,85423,13962773.86,,,,,,,,,,,,7957.2,8217.2,167732,"2",2026-06-18 17:31:00,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2609.CFE,"2026-06-16",,,8234.4,8390.4,8215,8349,131.8,,89065,14824198.64,,,,,,,,,,,,8217.2,8358.8,177643,"2",2026-06-19 17:30:43,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
