date,expiry,DELTA_PNL,SMILE_ROLL_PNL,ATM_PNL,SKEW_PNL,CURV_PNL,TAU_PNL,R_PNL,MODEL_PNL,MARKET_PNL,MARKET_NOISE_PNL,OPTION_FEE,FUTURES_OPENING_FEE,FUTURES_CLOSING_FEE,FUTURES_FEE,FEE,ACTUAL_PNL,GROSS_OPTION_POSITION,FUTURES_POSITION,GAMMA_EXPOSURE,ATMVOL_EXPOSURE,SKEW_EXPOSURE,CURVATURE_EXPOSURE,THETA_EXPOSURE
2026-07-15,2026-09-18,5082.6854192830215,-10829.591730899067,1170.858308396524,21944.7545155196,372.1154051477665,-700.2215373115014,0.0,17040.60038013637,51439.99999999959,34399.39961986322,2490.0,673.43908,0.0,673.43908,3163.43908,48276.560919999596,113,12,-0.06413002585907851,-93105.91300131481,-994139.03872314,-2063.7991472035615,23613.500775607623
2026-07-16,2026-09-18,-3216.5599932304467,-27379.46143476308,5943.507485814816,-49133.18565921024,906.8481391937188,-1241.549998458488,0.0,-74120.4014606537,-101139.99999999854,-27019.59853934485,150.0,35.52672,0.0,35.52672,185.52672,-101325.52671999854,115,13,-0.07141332196439047,-53329.677115640494,-1004880.2093739547,-4125.174644843921,112356.73076677328
2026-07-17,2026-12-18,46129.2729792709,8926.887225087337,2132.168599590752,-143116.71451618214,13558.05085815108,-159.37033901535847,0.0,-72529.70519309735,-88100.0,-15570.294806902646,2550.0,688.21888,0.0,688.21888,3238.21888,-91338.21888,55,7,0.04900739788135657,40102.73148552615,-986619.742544592,-18563.129395913224,-86829.11043782519
2026-07-20,2026-12-18,13197.85166592733,-735.2281570355494,-20646.711766132565,80380.89155988774,-8003.079912033612,3858.7003122475603,0.0,68052.42370286095,36660.0000000007,-31392.42370286025,780.0,94.7508,0.0,94.7508,874.7508,35785.2492000007,65,10,-0.0336142894118059,-938758.7444959729,-1014056.9149436228,-51769.434337034116,-604074.0942668781
2026-07-21,2026-09-18,26431.817848793115,40839.36831872636,77820.39487296122,144516.56781398394,-17374.935526394926,4581.66959239735,0.0,276814.8829204668,255519.9999999985,-21294.882920468342,2610.0,747.05472,0.0,747.05472,3357.05472,252162.94527999847,109,14,-0.2059636112233163,-828119.146397963,-954975.1843920898,-31735.022259602334,-1248953.92811181
2026-07-22,2026-10-16,-15066.069937515887,-23061.133535886263,2521.440102910703,133009.19500158197,-383.37527100054103,-90.36633221881766,0.0,96929.69002787117,106387.0798745522,9457.389846681035,3150.0,950.9244401041996,0.0,950.9244401041996,4100.9244401042,102286.15543444801,101,15,-0.10299817435653687,-442841.5405063301,-1007322.9017846241,4113.102280752885,-328427.0757792132
2026-07-23,2026-10-16,4511.904925089126,10796.24232117317,-2626.224450986283,-14947.20274682908,254.905898882374,-964.9261586697762,0.0,-2975.3002113404946,-4384.803694270202,-1409.5034829297074,1560.0,0.0,0.0,0.0,1560.0,-5944.803694270202,107,15,-0.010902986144839987,321605.1918128913,-1000286.3865010589,-606.8158231573634,437097.77831448254
2026-07-24,2026-09-18,3770.5512313358486,-62165.94429567814,14036.21074884378,42385.605885628254,-721.2094336121419,-2779.212662865664,0.0,-5473.99852634815,-6520.000000001746,-1046.001473653596,3705.0,1005.9234724563462,0.0,1005.9234724563462,4710.923472456347,-11230.923472458093,140,16,-0.15209906504983736,-77598.605589579,-995287.0192380518,-1019.8258608167705,204205.04954205552
2026-07-27,2026-09-18,-16522.44550232438,87689.48371612064,14902.417988972986,-17339.223252677606,3250.342384768702,5917.221545170403,0.0,77897.79688003077,97800.0000000014,19902.203119970625,2325.0,94.94675999999998,0.0,94.94675999999998,2419.94676,95380.05324000139,149,19,-0.16843109753651397,-37311.37659686638,-984673.4765483543,-7269.485639352867,332861.5369486858
2026-07-28,2026-10-16,-5092.687364966609,-72693.5219516649,15845.15556545995,165633.04958122235,-303.83567832572174,-1730.0412944913987,0.0,101658.11885723361,77972.87763611367,-23685.24122111994,3675.0,982.8298040231838,0.0,982.8298040231838,4657.829804023184,73315.04783209048,96,11,-0.04435944593965914,-34747.77526649268,-993357.3657491591,-429.4695361855531,51882.753008369764
2026-07-29,2026-09-18,-14337.180680516292,36779.74624665854,-2009.274625374681,-17614.76201074602,-337.97126386509535,-1109.9280863406284,0.0,1370.6295798157807,3160.0,1789.3704201842193,6030.0,955.9187202088142,615.9252799999999,1571.8440002088141,7601.844000208814,-4441.844000208814,153,19,-0.14542508398157158,209504.03433364982,-1005173.8148155084,-3413.9697657802612,898438.2102117223
