date,DELTA_PNL,SMILE_ROLL_PNL,GAMMA_PNL,ATMVOL_PNL,SKEW_PNL,CURVATURE_PNL,RHO_PNL,THETA_PNL,ATMVOL_VANNA_PNL,ATMVOL_VOLGA_PNL,MODEL_RESIDUAL,MARKET_NOISE,TOTAL_RESIDUAL,FEE_PNL,MODEL_PNL,MARKET_PNL,ACTUAL_PNL_AFTER_FEES
2026-07-01,-8.001404740440194,-2437.9980754919206,-1.9680860551933925,2473.3535290825102,46970.26386527212,514.8420485158686,0.0,1134.9361965441299,-591.970514833731,72.76353944566546,-1293.0892341511862,8686.868136412857,7393.778902261671,-1995.0,46833.13186358783,55520.000000000684,53525.000000000684
2026-07-02,6940.931309931795,-42362.36768387993,-1443.817593810436,-707.3083468228579,12954.642869440386,-107.64371198434856,0.0,-531.4413175045866,15223.681783891632,-88.19952223532917,314.03993303630705,13747.482279936143,14061.52221297245,-4710.94052,-9807.482279937365,3939.9999999987776,-770.9405200012225
2026-07-03,333.5870592807696,-1132.1598248930843,-0.9492348827090922,-902.210521080844,17916.089994750295,402.1842565310312,0.0,-1141.5804551728497,-542.1268780821296,-83.14054066103148,-949.0864079495768,16379.392552158792,15430.306144209215,-4118.9758,13900.60744783987,30279.99999999866,26161.02419999866
2026-07-06,2929.834260366595,-22229.563091481257,-356.3203651191204,-9.826511305697721,-10929.503267001126,275.0723652992949,0.0,-643.9956195230452,111.74578379128046,-0.03485343762399007,-1997.235986150361,10829.827284561063,8832.591298410702,-4964.85732,-32849.82728456106,-22020.0,-26984.85732
2026-07-07,-12109.806212627329,-29652.210142887507,-840.779210077178,1131.6251223387735,-20217.527793291367,-356.80073634711766,0.0,-42.94909434588749,-9298.192342180928,-100.01777401731769,-31.457366471833666,-761.884450092708,-793.3418165645417,-2895.0,-71518.1155499077,-72280.00000000041,-75175.00000000041
2026-07-08,12641.838204744854,-31640.72185007938,-927.0114447508622,-2224.130574341698,-18931.127174482463,1413.0969697516957,0.0,306.8997722958745,10424.063401224541,-107.9211085787509,3765.504686450946,-22520.490882234237,-18754.98619578329,-1102.32992,-25279.509117765236,-47799.999999999476,-48902.32991999947
2026-07-09,-293.0675507734413,4182.477589731661,272.38419123861513,3.421600076363589,19675.077504446283,-1007.3410348245561,0.0,197.1102193850034,62.063689595484874,-0.005083363269308324,1833.2971789189069,3754.5816955691835,5587.87887448809,-3098.79432,24925.41830443105,28680.000000000233,25581.205680000232
2026-07-10,-6712.229640823323,-28020.80506875593,-317.7432321407596,54.07693488103962,-36035.240002227714,-437.72995817830906,0.0,-1124.877452000902,684.153273068835,-0.11876710431200788,5362.466542724578,-50931.95262944408,-45569.4860867195,-4716.2302,-66548.0473705568,-117480.00000000087,-122196.23020000088
2026-07-13,27353.38098158734,-56802.336217823125,-3180.2762613415034,-99.34875684378494,-170704.24204591755,207.71424628825116,0.0,-925.490377716691,242324.9086583003,-984.8034031604975,32402.34395188238,-2331.8507752544247,30070.493176627955,-4912.25632,69591.85077525512,67260.0000000007,62347.7436800007
2026-07-14,10173.031790205278,-213.4453666474932,196.4406280376183,246.43547748723608,38133.58007810989,819.6611419605207,0.0,621.9475175600095,443.1366131457587,-0.10640481449574635,104.7432481020951,-165.42472314741462,-60.68147504531953,-4744.49912,50525.42472314641,50359.999999998996,45615.500879998996
2026-07-15,4224.4425801701145,-11124.183900400692,-134.64227189165342,-676.0919223557494,22036.40202067748,179.28716830499786,0.0,-64.69452267289807,3576.9083457653905,-53.09540661604231,-923.7317108445786,34399.39961986323,33475.66790901865,-3163.43908,17040.60038013637,51439.99999999959,48276.560919999596
2026-07-16,-11277.718256449327,-28120.033973583155,-1039.219515623769,-703.5645750592921,-49663.934963020154,319.8725370116978,0.0,-307.8266596349954,16987.09212735731,-270.6296163933191,-44.438565258678864,-27019.598539344843,-27064.03710460352,-185.52672,-74120.4014606537,-101139.99999999854,-101325.52671999854
2026-07-17,14603.39030354633,-9153.043590724921,5669.200290614276,124.90006794126157,-152564.64779239066,5802.227503054961,0.0,237.88797380225958,5417.497285037612,-7.793780062342746,57340.676546083894,-15570.294806902646,41770.38173918125,-3238.21888,-72529.70519309735,-88100.0,-91338.21888
2026-07-20,4000.976389277668,-1578.473536715263,-779.8037820629308,-30477.212340067083,82280.22384708049,-6447.9975298942745,0.0,4964.992555618154,25252.31479047215,-3080.583848714075,-6082.012842133889,-31392.42370286025,-37474.43654499414,-874.7508,68052.42370286095,36660.0000000007,35785.2492000007
2026-07-21,-6537.928830260527,21480.147417437667,-10192.434723891494,44441.25008151222,150908.81426732967,-36431.23338871106,0.0,3421.7915838679583,87159.59351599036,-7063.908101082963,29628.791098275018,-21294.882920468357,8333.908177806661,-3357.05472,276814.8829204668,255519.9999999985,252162.94527999847
2026-07-22,-6457.582010454498,-20518.29990829169,-484.06521871715904,12143.117071918256,136007.8852273427,1831.1599658408968,0.0,899.800207614283,-14744.515196961518,397.13031870282543,-12144.94042912293,9457.38984668104,-2687.5505824418888,-4100.9244401042,96929.69002787117,106387.0798745522,102286.15543444801
2026-07-23,2863.4904384551483,10515.631253536774,-7.777665587597028,-4191.480100830075,-15119.48151702646,-109.40723946261505,0.0,-1197.5281597657122,3228.020180218444,-166.12111859276965,1209.3537177143662,-1409.5034829297074,-200.14976521534118,-1560.0,-2975.3002113404946,-4384.803694270202,-5944.803694270202
2026-07-24,-10421.031956203864,-59497.05312630179,-2785.995532536572,-1439.0226345124538,43189.02606124063,-74.6045404224891,0.0,-559.4658891563136,34103.89366016863,-431.0486888539558,-7558.695879769966,-1046.001473653596,-8604.697353423562,-4710.923472456347,-5473.99852634815,-6520.000000001746,-11230.923472458093
2026-07-27,-16001.550271917135,84986.86472787955,-6075.811612812726,485.53622620858187,-17876.88019148099,-3985.6929494971273,0.0,-2735.8482488933114,31530.305897261776,-380.90895827475265,7951.782261556902,19902.203119970618,27853.98538152752,-2419.94676,77897.79688003077,97800.0000000014,95380.05324000139
2026-07-28,-16801.401454884384,-70027.32808568241,-692.611687346337,-842.1924563867215,166738.5132041827,-15.383267743219108,0.0,-142.1445287900542,30891.68417306018,-316.4832726877469,-7134.533766488385,-23685.241221119948,-30819.774987608333,-4657.829804023184,101658.11885723361,77972.87763611367,73315.04783209048
2026-07-29,-9804.98958820873,39047.25495891554,-786.4588541723392,1744.1248984962276,-17475.743061716956,610.4078953750159,0.0,-2461.474548525258,-7691.357655494944,-137.09747139404755,-1674.0369934587252,1789.3704201842193,115.33342672549406,-7601.844000208814,1370.6295798157807,3160.0,-4441.844000208814
